Index;Rocnik;Proza/Basen;Obsah
1;2;B;Škola je veľký dom. Škola je celá veľká. Žijú v nej školáci a pani učiteľka. Červenú strechu má a strecha komín v dyme. Aby tam detičkám nebolo zima v zime. Škola je vážny dom, celá je vážna škola. A Škola bez kvetov je ako jeseň holá! Nech teda zasvietia deťom v nej do svetlice, ak už nie slniečko, aspoň tie slnečnice.
2;2;B;Slovenčina, kto ti dal toľko nežných krás, že vždy ako potôčik zažblnkoceš v nás? Slovenčina najdrahšia, ty si poklad náš, to preto, že mamkino srdce v sebe máš.
3;2;B;"Sadí matka zrniečka do detského srdiečka: „Tu máš do vena.“  To je krása, už sa hlásia číre, zdravé ako voda z prameňa. Prvé slovo „mama"" čo je najbližšie. Potom „otec, čo ho kolíše.“ Hrnček, mlieko, krajec chleba..“  To je krása, naše dieťa dotýka sa sveta vôkol seba.“ Oblok, mračno ako hrad, kapsa, cesta, kamarát, rieka, more...“  A nad hlavou v čiernej hore plno zlatých hviezd. To je krása, naše dieťa dotýka sa rodnou rečou hviezd."
4;2;B;Klope ktosi dneska zrána: Otváraj sa, školská brána! Krásne klope, to mi ver, klope mesiac september. Na husličkách k tomu hrá, bránu školy otvára. Užije brána dokorán. Najmúdrejšia brána brán, Múdrosti je za ňou všade ako kvetín na záhrade. Bežíme dnu - sláva, sláva! Tuná deťom zmúdrie hlava.
5;2;P;Čo vám budem rozprávať, Tomáš pôjde zakrátko do školy a ešte si nevie poriadne ani šnúrky na topánkach zaviazať. Raz-dva sa mu rozviažu a vláčia sa po zemi. Nahnevali sa šnúrky na neporiadnika a povedali si, že od neho odídu. A tak veru aj urobili. Vyšnurovali sa z topánok a plazia sa po dvore. Kohút so sliepkou si svojím kuracím rozumom myslia, že to idú dvorom dve hnedé dážďovky, nuž poďho za nimi! Šnúrky vidia, že to vo svojom hneve prehnali, ale čo sa už dá robiť. Aj Tomáš vidí, že je zle-nedobre, rozbehne sa za šnúrkami. Horkýže rozbehne, topánky bez šnúrok mu padajú z nôh. Kohút so sliepkou tam boli skôr.“ Hádam len neprišla naša posledná hodina? Hádam nás len nezožerie táto nevedomá hydina? To radšej ukážeme tomu neporiadnemu Tomášovi, ako sa správne zaväzujú šnúrky, povedali a zaviazali sliepke a kohútovi zobáky na pevnú motýliu mašličku. Veru si Tomáš dobre všimol, ako vyzerajú krásne uviazané šnúrky, keď ich odväzoval kohútovi a sliepke zo zobáka. Tomáš pôjde zakrátko do školy a už vie, ako sa zdobia topánky pevným motýlikom. Vie, lebo dostal od šnúrok dobrú školu.
6;2;P;"Teta upratovačka to má ťažké. Ona je len jedna a rozhadzovačov v škole je presne štyristo. Teta upratovačka každý deň vymetá papieriky z cukríkov, žuvačkové obaly, igelitové vrecká, potrhané pijaky, omrvinky z rožkov, a raz...   dokonca našla v jednej triede slona. Patril Baltazárovi a bol nafukovací. A nielen nafukovací, ale aj nafúkaný. Ráno, keď ho Baltazár doniesol do triedy, bol celkom malý. Ale potom sa nafúkol, aký je vraj múdry! Všetko vie! Je múdrejší ako pán riaditeľ s ujom školníkom dohromady! Nafukoval sa, nafukoval- až mal vyše troch metrov. Teta upratovačka zalomila rukami. Čo robiť? Zavolať prvú pomoc? Hasičov? Do zoo? Vtom jej niečo zišlo na um: „Koľko je dva a dva?"" spýtala sa slona. Slon čušal, lebo nemal o tom ani potuchy. Darmo chodil do školy - slonia hlava nie je na matematiku. A tak od hanby spľasol a prestal byť nafúkaný. Teta upratovačka napísala na tabuľu odkaz žiakom."
7;2;P;Pekný vtáčik bol Janíčko. Nenaučil sa v škole pravopis. Lebo on tam nesedával na stoličke, ale na ušiach, Potom, pravdaže, vynechával dlžné a mäkčene. Nepodpisoval sa JANÍČKO, ale JANICKO. Priletel k tomu slovu iný vtáčik-štebotáčik a hneď prestal štebotať. Tak ho tie chyby ohromili. Rozhodol sa, že ich hneď opraví. Lenže ako, keď pri sebe nemal pero. Poradil si, vytrhol si pero z chvosta. Nemal ani atrament. Ale aj tu prišiel na nápad. Namočil si pero do modrého jazera. Lenže to jazero v skutočnosti vôbec nebolo modré, iba sa také zdalo. Náš vtáčik nebol z tých, čo sa tak ľahko vzdávajú. Chyby predsa len opravil. Opravil ich sám sebou.
8;2;P;"Vladkova mama odišla do práce a Vladko sa hral s vláčikmi, lebo ísť do školy bolo ešte včas. Hral sa, hral sa a hral, celkom na školu zabudol. A to sa stalo už tretí raz v tomto mesiaci.“ To nemôžem tak nechať, povedala si Škola, lebo mala Vladka rada.“ Idem ja poňho.“  Odfúkla si cez komín, zdvihla sa na nohy a pustila sa dolu ulicou. Vo Vladkovej triede mali práve matematiku, keď sa im zrazu dlážka naklonila a lavice sa pošmykli k stene. Aj počítadlo sa pošmyklo k stene. Potom sa dlážka naklonila na druhú stranu a lavice sa pošmykli k druhej stene. Aj počítadlo sa pošmyklo k druhej stene. Všetko lietalo raz sem, raz tam ako autíčka v lunaparku. A otvorené obloky kývali krídlami ako vtáky. Deti výskali od radosti, takúto zaujímavú matematiku ešte nemali. Pani učiteľka však zbledla a chytila sa za srdce - myslela, že nastalo zemetrasenie. A to sa len Škola uberala po ulici. Dopravný policajt jej dal zelenú a všetky autá sa dívali. Pred Vladkovým domom Škola zastala. Z oblokov vykuklo asi tridsať hláv a všetky zavolali: „Vladko, kde si?"" A ešte raz: „Vladko, kde si?“ Vladko pozrel na hodinky. Bolo štvrť na desať. Schytil tašku a vybehol z domu. Aj topánky si zabudol obuť. Bežal len tak v papučiach. Keď ho Škola zočila, chytro mu otvorila dvere a on do nej naskočil ako do autobusu. A potom sa zas vrátila na svoje miesto."
9;2;P;"Čože jedno písmeno, poviete si. Dajsarmisvete, jedno písmeno, keď je v abecede plno iných a krajších aj potrebnejších. Haha, moji milí, ono to nie je len tak. Veď keby nebolo „a, nebola by ani abeceda, ale v najlepšom prípade „beced“. Ani „mama“ by sa nemohlo napísať, iba ak ,mm“. Tata by sa písal „tt“, bába „bb"". Tak vám teda porozprávam, ako to bolo bez písmena „a. Ľudí to písmeno vedeli povedať, ale ho nevedeli napísať. Bolo to veľmi zle, pretože i detské časopisy museli byť pod menom Zornička, Včielka. Preto, keď bol Janko Harško v škole v prírode, napísal domov list, v ktorom bolo: Milí rodičia! Píše Vám Váš syn Janko Hraško zo školy v prírode. Je tu dobre. Včera svietilo slniečko, ale dnes už prší. Na obed sme mli plnenú papriku, zemiaky, n večeru krupicovú kauš. Bol veľmi dobrá. Len mi radšej pošlite trošku suchej slamy, pretože s bojím, že tú krupicu budeme mať častejšie. Bozky Vás Váš verný syn Janko Hraško. Rodičia prečítali list, urobili veľký balík, poslali ho synovi do školy n večeru krupicovú kašu. Bol veľmi dobrá. Len mi radšej pošlite trošku suchej slamy, pretože sa bojím, že tú krupicu budeme mať častejšie. Bozk Vám Váš verný syn Janko Hraško Rodičia prečítali list, urobili veľký balík, poslali ho synovi do školy v prírode. V tom balíku bol suchý slám i priložený list: Milý náš Janko! Sme radi, že s Ti v škole v prírode dobre vodí. Posielame Ti tú suchú salámu, hoci nevieme, načo Ti ju treba, keď iste spíte v posteli. Bozkávame ťa. Tvoji ustarostení rodičia. Janko odpísal druhý list: Milí rodičia! Veľmi zle ste mi to poslali. Ja som nechcel suchú slamu, chcel som suchú salámu, aby som ju mohol zjesť. Pozdravuje Vás Váš nešťastný syn Janko Hraško. Rodičia prečítali, zlomili ruky i povedali: „Veď on nechcel slamu, on chcel salámu!“ Tak to teda bolo, že rodičia posielali deťom do školy v prírode suchú slamu namiesto suchej salámy len preto, že na svete nebolo písmeno „a""."
10;2;B;"Jeseň, pani bohatá, farbí stromy dozlata, premaľúva celý sad. Zletel vietor, šiki-miki, hojdá všetky konáriky, vraj by stromy zobliecť rád. Vyhúda im celý čas: „Ide zima, bude mráz, pomrznete zaiste!"" Ale strom mu roz0smiaty ako dáky peniaz zlatý púšťa len list po liste."
